order_id,customer_id,order_date
147,24,2024-04-09
148,82,2023-10-05
149,96,2022-03-13
150,50,2018-07-13
151,56,2025-08-29
152,9,2017-07-05
153,43,2022-05-27
154,81,2024-10-16
155,100,2021-10-02
156,63,2024-02-25
157,88,2015-01-20
158,68,2017-03-24
159,96,2021-06-22
160,74,2018-01-31
161,82,2022-07-24
162,62,2024-11-16
163,20,2020-02-22
164,3,2018-11-30
165,21,2024-06-20
166,75,2016-02-20
167,33,2016-05-11
168,8,2017-08-22
169,21,2017-10-01
170,94,2018-05-23
171,49,2025-02-06
172,5,2019-10-23
173,22,2019-08-27
174,35,2019-12-16
175,26,2018-11-23
176,87,2023-04-03
177,49,2023-08-23
178,48,2021-07-22
179,12,2017-09-14
180,87,2021-02-05
181,54,2019-12-27
182,35,2016-11-19
183,54,2022-04-06
184,13,2016-08-05
185,15,2021-03-27
186,49,2015-08-11
187,75,2020-12-22
188,75,2023-06-11
189,23,2023-04-13
190,59,2024-03-24
191,30,2017-06-17
192,71,2022-10-29
193,48,2024-06-07
194,22,2023-07-04
195,97,2021-03-02
196,9,2024-10-15
197,65,2019-03-27
198,33,2025-07-18
199,27,2025-06-03
200,70,2016-09-25
201,53,2024-03-14
202,11,2023-01-05
203,6,2025-09-27
204,46,2016-03-24
205,37,2019-05-20
206,31,2022-10-17
207,44,2021-08-10
208,81,2018-04-18
209,58,2017-03-25
210,39,2018-08-13
211,97,2015-10-16
212,16,2015-07-20
213,78,2023-08-27
214,68,2021-10-23
215,8,2017-02-17
216,66,2024-10-25
217,5,2023-07-20
218,22,2022-05-01
219,70,2018-11-25
220,87,2016-11-11
221,23,2019-07-03
222,30,2023-07-04
223,52,2017-04-14
224,76,2015-10-03
225,97,2022-03-24
226,33,2024-01-10
227,33,2018-11-11
228,77,2025-01-12
229,58,2020-04-07
230,15,2022-03-02
231,63,2023-04-10
232,40,2016-02-04
233,98,2018-05-12
234,85,2015-09-23
235,43,2023-12-15
236,43,2023-10-14
237,2,2023-05-22
238,58,2023-01-27
239,46,2020-05-06
240,96,2019-12-24
241,32,2019-02-18
242,48,2019-05-04
243,74,2021-10-30
244,5,2025-09-01
245,57,2019-12-09
246,24,2021-12-10
247,40,2023-12-04
248,81,2019-02-25
249,3,2025-05-08
250,77,2017-02-09
251,91,2023-01-04
252,51,2018-11-17
253,43,2022-03-01
254,85,2020-04-09
255,100,2016-08-22
256,30,2017-01-25
257,22,2021-07-05
258,11,2015-08-15
259,30,2016-08-10
260,95,2023-08-23
261,21,2021-12-15
262,83,2022-03-31
263,8,2019-07-13
264,81,2025-11-07
265,28,2023-11-06
266,40,2020-11-13
267,22,2021-06-27
268,89,2022-02-02
269,38,2016-11-13
270,85,2017-01-08
271,11,2021-09-20
272,64,2017-09-24
273,61,2025-02-27
274,16,2015-12-30
275,49,2017-04-07
276,39,2023-06-23
277,85,2017-01-26
278,60,2015-12-01
279,55,2015-10-31
280,91,2016-03-02
281,71,2015-02-20
282,51,2024-09-08
283,35,2022-01-04
284,6,2019-05-10
285,92,2015-02-25
286,95,2020-10-18
287,6,2024-10-28
288,24,2018-01-25
289,79,2016-08-12
290,45,2025-08-11
291,57,2024-06-25
292,80,2017-06-15
293,85,2017-03-25
294,51,2021-07-15
295,44,2024-06-15
296,20,2015-08-19
297,37,2020-03-29
298,63,2024-11-04
299,18,2023-07-25
300,6,2022-11-09
301,100,2023-04-16
302,20,2016-12-06
303,78,2025-04-30
304,9,2022-05-24
305,80,2024-02-18
306,27,2019-04-29
307,92,2017-08-24
308,71,2017-06-13
309,87,2018-02-16
310,6,2022-03-25
311,11,2025-09-12
312,96,2022-03-18
313,8,2016-10-01
314,14,2017-04-03
315,87,2015-05-08
316,73,2021-01-19
317,4,2018-09-26
318,61,2018-10-23
319,42,2015-01-04
320,86,2022-11-04
321,96,2016-03-02
322,50,2015-02-06
323,88,2019-08-03
324,48,2020-03-18
325,1,2018-08-13
326,69,2023-02-22
327,15,2023-08-07
328,88,2020-12-16
329,40,2017-01-26
330,10,2018-01-14
331,20,2022-04-30
332,62,2015-03-11
333,74,2019-10-24
334,42,2023-02-12
335,15,2018-04-01
336,26,2021-05-27
337,50,2022-05-15
338,9,2023-12-17
339,38,2019-12-30
340,77,2018-09-10
341,42,2018-11-20
342,29,2015-05-21
343,83,2016-06-30
344,88,2020-02-04
345,71,2023-08-05
346,24,2022-09-09
347,36,2025-05-10
348,24,2025-05-13
349,92,2025-09-26
350,76,2024-01-28
351,90,2018-12-09
352,52,2022-06-06
353,11,2020-10-07
354,67,2023-09-20
355,60,2018-03-24
356,65,2019-11-24
357,46,2017-12-25
358,60,2021-06-01
359,8,2019-03-20
360,39,2020-02-09
361,97,2022-05-15
362,93,2025-09-13
363,100,2020-01-31
364,96,2021-10-02
365,15,2024-11-25
366,78,2023-06-18
367,12,2024-01-11
368,100,2021-06-28
369,8,2016-05-24
370,96,2019-02-26
371,6,2021-12-09
372,82,2019-02-23
373,80,2020-06-28
374,16,2025-05-09
375,78,2016-11-22
376,99,2025-10-24
377,4,2023-04-26
378,35,2023-05-26
379,68,2020-08-01
380,27,2019-08-09
381,77,2020-07-14
382,21,2015-05-14
383,65,2019-03-29
384,33,2015-01-30
385,56,2021-11-15
386,6,2017-08-17
387,2,2017-12-16
388,76,2015-11-26
389,11,2025-05-17
390,70,2024-12-13
391,67,2018-03-07
392,28,2025-01-15
393,74,2017-04-23
394,67,2016-11-11
395,100,2023-12-26
396,35,2016-02-10
397,89,2016-02-05
398,79,2015-07-28
399,78,2022-11-03
400,13,2023-05-05
401,9,2021-03-02
402,67,2025-10-15
403,69,2017-01-29
404,64,2023-01-05
405,91,2017-02-22
406,98,2018-02-08
407,60,2016-06-24
408,59,2022-07-18
409,23,2016-01-24
410,12,2015-06-14
411,6,2021-05-09
412,25,2020-05-21
413,32,2020-09-01
414,49,2025-07-13
415,48,2021-05-27
416,28,2019-08-21
417,66,2018-08-05
418,22,2021-09-08
419,77,2021-03-20
420,26,2025-06-17
421,54,2015-10-03
422,35,2015-02-24
423,18,2020-06-13
424,1,2025-08-03
425,59,2021-11-30
426,62,2021-11-21
427,36,2018-05-27
428,76,2015-01-25
429,8,2025-11-10
430,5,2025-04-18
431,16,2019-02-02
432,91,2024-07-17
433,82,2016-03-22
434,75,2023-02-26
435,55,2018-03-13
436,60,2018-01-27
437,51,2021-04-30
438,34,2021-09-19
439,52,2021-04-22
440,58,2021-10-31
441,4,2019-07-08
442,27,2022-06-03
443,37,2023-09-30
444,63,2024-06-01
445,72,2019-11-02
446,54,2016-05-27
447,38,2021-10-13
448,48,2023-06-08
449,50,2023-01-03
450,24,2016-10-26
451,43,2022-09-06
452,82,2018-06-20
453,6,2019-03-13
454,52,2017-06-16
455,22,2025-11-03
456,50,2020-05-06
457,93,2019-01-21
458,65,2023-06-29
459,45,2021-03-23
460,92,2015-09-01
461,54,2017-07-27
462,34,2019-08-11
463,31,2016-11-20
464,10,2025-01-04
465,7,2024-09-30
466,49,2016-05-14
467,96,2025-03-26
468,3,2017-05-31
469,64,2016-09-11
470,96,2023-04-28
471,70,2019-02-28
472,77,2019-11-28
473,45,2024-09-14
474,91,2023-10-11
475,42,2024-05-04
476,56,2021-08-18
477,27,2024-01-13
478,71,2020-02-24
479,52,2025-07-15
480,35,2021-05-22
481,6,2018-07-16
482,11,2021-09-15
483,45,2018-06-29
484,21,2022-03-15
485,6,2025-05-05
486,52,2018-11-18
487,87,2018-02-20
488,9,2015-02-24
489,78,2019-09-12
490,39,2020-06-05
491,82,2022-10-25
492,13,2017-07-15
493,31,2016-05-31
494,66,2022-06-12
495,2,2019-02-26
496,21,2017-02-04
497,24,2024-09-03
498,32,2016-08-04
499,62,2025-05-24
500,26,2024-09-14
